family,slice,feature,status,current_support,evidence,official_source,priority,tracking_issue
gantt+chronology,parser+semantic model,@startgantt/@startchronology parsing,implemented,Implemented parser and normalized timeline model with deterministic diagnostics for invalid constructs,tests/fixtures/timeline/valid_gantt_baseline.puml;tests/fixtures/timeline/valid_chronology_baseline.puml,https://plantuml.com/gantt-diagram,p0,#94
gantt+chronology,layout+renderer,time-axis and event render,partial,Deterministic gantt/chronology render path is active with project-start date-axis labels plus workload duration from `requires` plus resource lane evidence plus milestone date/reference placement plus chronology ISO-date sorting; advanced scale/calendar semantics remain narrower,tests/fixtures/timeline/valid_gantt_render.puml;tests/fixtures/timeline/valid_chronology_render.puml;tests/parity_wave_csv_timeline_activity.rs,https://plantuml.com/chronology-diagram,p0,#95
mindmap+wbs,parser+AST,mindmap/wbs syntax families,implemented,@startmindmap/@startwbs families parse and normalize,tests/fixtures/non_sequence/invalid_mindmap_diagram.puml;tests/fixtures/non_sequence/invalid_wbs_diagram.puml,https://plantuml.com/mindmap-diagram,p0,#96
mindmap+wbs,layout+renderer,hierarchy layout/orientation,partial,Deterministic render path exists while advanced orientation/styling parity remains partial,docs/examples/mindmap/01_basic.svg;docs/examples/wbs/01_basic.svg,https://plantuml.com/wbs-diagram,p0,#97
salt,parser+widget model,Salt block parsing and widget model,implemented,Family recognized and rendered with deterministic semantics,tests/fixtures/families/valid_salt_bootstrap.puml,https://plantuml.com/salt,p1,#98
salt,renderer,wireframe widget rendering,partial,Renderer path supports label/input/button/combo/checkbox/radio rows plus separator rows; advanced widgets and styling semantics remain partial,tests/fixtures/families/valid_salt_login_form.puml;tests/integration.rs,https://plantuml.com/salt,p1,#99
archimate,parser+stdlib integration,archimate declarations and relation macros,implemented,Family parser and relation handling are active,tests/fixtures/non_sequence/valid_archimate.puml,https://plantuml.com/archimate-diagram,p1,#100
archimate,relation layout+render,layered element rendering,partial,Deterministic render path active for baseline examples while advanced relation/style breadth is partial,docs/examples/archimate/01_layered.svg,https://plantuml.com/archimate-diagram,p1,#100
nwdiag/network,parser+topology model,network/group/node grammar,implemented,Family parser and topology model available,tests/fixtures/non_sequence/valid_nwdiag.puml,https://plantuml.com/nwdiag,p1,#101
nwdiag/network,layout+render,network topology rendering,partial,Renderer path active with deterministic output while richer topology semantics remain partial,docs/examples/nwdiag/01_single_net.svg,https://plantuml.com/nwdiag,p1,#101
json+yaml,standalone data diagrams,@startjson/@startyaml diagram support,implemented,Both families parse and render deterministic data-tree views,tests/fixtures/non_sequence/valid_json.puml;tests/fixtures/non_sequence/valid_yaml.puml,https://plantuml.com/json,p1,#102
json+yaml,cross-diagram projection,JSON/YAML projection into UML contexts,partial,JSON and YAML inline projection boxes render inside UML contexts; full PlantUML object/usecase/component projection semantics remain broader,tests/fixtures/families/valid_yaml_projection.puml,https://plantuml.com/yaml,p2,#103
regex,parser+regex-diagram model,@startregex support,implemented,Regex family parser and deterministic render path are active,tests/fixtures/non_sequence/valid_regex.puml,https://plantuml.com/regex,p1,#104
regex,rendering+localized labels,advanced regex descriptive options,partial,Core render is implemented but advanced localized descriptive options remain partial,docs/examples/regex/01_character_classes.svg,https://plantuml.com/regex,p2,#104
ebnf,parser+grammar model,@startebnf support,implemented,EBNF grammar family parses and renders deterministically,tests/fixtures/non_sequence/valid_ebnf.puml,https://plantuml.com/ebnf,p1,#104
ebnf,rendering+style,full railroad/style semantics,partial,Core render is implemented with narrower styling breadth,docs/examples/ebnf/01_simple_grammar.svg,https://plantuml.com/ebnf,p2,#104
math,inline+standalone formula support,@startmath/@startlatex support,implemented,Math family support is implemented with deterministic renderer,tests/fixtures/non_sequence/valid_math.puml,https://plantuml.com/ascii-math,p2,#105
sdl,activity-sdl mode support,@startsdl and transition support,implemented,SDL family parser/model/render is implemented with stereotype-driven start/end/input/output/decision shapes; deeper activity-beta semantics remain partial,tests/fixtures/non_sequence/valid_sdl.puml;tests/integration.rs,https://plantuml.com/activity-diagram-beta#SDL-Specification-and-Description-Language-with-SDL-sterotype,p2,#105
ditaa,ascii-art integration,@startditaa support,implemented,Ditaa family parser/render route is implemented with deterministic ASCII shape detection plus scale and transparent option pass-through,tests/fixtures/non_sequence/valid_ditaa.puml;tests/integration.rs,https://plantuml.com/ditaa,p2,#105
chart,chart grammar+series model,@startchart support,implemented,Chart parser supports baseline bar/column/line/pie plus area/scatter chart forms with deterministic output,tests/fixtures/non_sequence/valid_chart_bar.puml;tests/fixtures/non_sequence/valid_chart_pie.puml;tests/integration.rs,https://plantuml.com/chart-diagram,p0,#106
chart,chart renderer+style,axis/legend/style breadth,partial,Core chart renderer exists while full annotation and style-system parity remains partial,docs/examples/chart/01_bar.svg,https://plantuml.com/chart-diagram,p0,#106
